市町村,,,令和２年３月19日現在,,,
法人番号,名称,所在地,備考,,,
9000020011002,札幌市,北海道札幌市中央区北一条西２丁目,,,,
9000020012025,函館市,北海道函館市東雲町４－１３,,,,
9000020012033,小樽市,北海道小樽市花園２丁目１２－１,,,,
9000020012041,旭川市,北海道旭川市六条通９丁目４６番地,,,,
8000020012050,室蘭市,北海道室蘭市幸町１－２,,,,
7000020012068,釧路市,北海道釧路市黒金町７丁目５,,,,
7000020012076,帯広市,北海道帯広市西五条南７丁目１,,,,
7000020012084,北見市,北海道北見市大通西２丁目１番地,,,,
7000020012092,夕張市,北海道夕張市本町４丁目２,,,,
2000020012106,岩見沢市,北海道岩見沢市鳩が丘１丁目１番１号,,,,
2000020012114,網走市,北海道網走市南六条東４丁目１,,,,
2000020012122,留萌市,北海道留萌市幸町１丁目１１,,,,
1000020012131,苫小牧市,北海道苫小牧市旭町４丁目５－６,,,,
9000020012149,稚内市,北海道稚内市中央３丁目１３－１５,,,,
9000020012157,美唄市,北海道美唄市西三条南１丁目１－１,,,,
9000020012165,芦別市,北海道芦別市北一条東１丁目３,,,,
9000020012173,江別市,北海道江別市高砂町６,,,,
9000020012181,赤平市,北海道赤平市泉町４丁目１,,,,
8000020012190,紋別市,北海道紋別市幸町２丁目１－１８,,,,
4000020012203,士別市,北海道士別市東六条４丁目１番地,,,,
4000020012211,名寄市,北海道名寄市大通南１丁目１,,,,
3000020012220,三笠市,北海道三笠市幸町２,,,,
2000020012238,根室市,北海道根室市常盤町２丁目２７番地,,,,
2000020012246,千歳市,北海道千歳市東雲町２丁目３４,,,,
2000020012254,滝川市,北海道滝川市大町１丁目２－１５,,,,
2000020012262,砂川市,北海道砂川市西六条北３丁目１－１,,,,
1000020012271,歌志内市,北海道歌志内市字本町５,,,,
9000020012289,深川市,北海道深川市二条１７－１７,,,,
9000020012297,富良野市,北海道富良野市弥生町１－１,,,,
5000020012301,登別市,北海道登別市中央町６丁目１１,,,,
4000020012319,恵庭市,北海道恵庭市京町１,,,,
4000020012335,伊達市,北海道伊達市鹿島町２０－１,,,,
4000020012343,北広島市,北海道北広島市中央４丁目２－１,,,,
4000020012351,石狩市,北海道石狩市花川北六条１丁目３０－２,,,,
3000020012360,北斗市,北海道北斗市中央１丁目３－１０,,,,
1000020013030,当別町,北海道石狩郡当別町白樺町５８－９,,,,
9000020013048,新篠津村,北海道石狩郡新篠津村第４７線北１３番地,,,,
6000020013315,松前町,北海道松前郡松前町字福山２４８－１,,,,
6000020013323,福島町,北海道松前郡福島町字福島８２０,,,,
6000020013331,知内町,北海道上磯郡知内町字重内２１－１,,,,
5000020013340,木古内町,北海道上磯郡木古内町字本町２１８番地,,,,
4000020013374,七飯町,北海道亀田郡七飯町本町６丁目１－１,,,,
6000020013439,鹿部町,北海道茅部郡鹿部町字宮浜２９９,,,,
6000020013455,森町,北海道茅部郡森町字御幸町１４４－１,,,,
6000020013463,八雲町,北海道二海郡八雲町住初町１３８,,,,
6000020013471,長万部町,北海道山越郡長万部町字長万部４５３－１,,,,
1000020013617,江差町,北海道檜山郡江差町字中歌町１９３－１,,,,
1000020013625,上ノ国町,北海道檜山郡上ノ国町字大留１００,,,,
1000020013633,厚沢部町,北海道檜山郡厚沢部町新町２０７,,,,
1000020013641,乙部町,北海道爾志郡乙部町字緑町３８８,,,,
8000020013676,奥尻町,北海道奥尻郡奥尻町字奥尻８０６,,,,
3000020013706,今金町,北海道瀬棚郡今金町字今金４８－１,,,,
3000020013714,せたな町,北海道久遠郡せたな町北檜山区徳島６３－１,,,,
5000020013919,島牧村,北海道島牧郡島牧村字泊８３－１,,,,
5000020013927,寿都町,北海道寿都郡寿都町字渡島町１４０－１,,,,
5000020013935,黒松内町,北海道寿都郡黒松内町字黒松内３０２－１,,,,
5000020013943,蘭越町,北海道磯谷郡蘭越町蘭越町２５８－５,,,,
5000020013951,ニセコ町,北海道虻田郡ニセコ町字富士見４７,,,,
4000020013960,真狩村,北海道虻田郡真狩村字真狩１１８,,,,
3000020013978,留寿都村,北海道虻田郡留寿都村字留寿都１７５,,,,
3000020013986,喜茂別町,北海道虻田郡喜茂別町字喜茂別１２３,,,,
3000020013994,京極町,北海道虻田郡京極町字京極５２７,,,,
